species,trait,model,correlation_mean,correlation_SD,RMSE_mean,RMSE_SD
barley,BaMMV,BL,0.685276917791099,0.0219134290204067,1.73252566739186,0.0549586372509965
barley,BaMMV,BRR,0.687290495429768,0.0209708337180852,1.72824953441974,0.0536017431580278
barley,BaMMV,BayesA,0.704364973974787,0.0215482616906549,1.6895760213463,0.0578382248468732
barley,BaMMV,BayesB,0.708918417846612,0.0210850816461405,1.67877656125742,0.0558971835292049
barley,BaMMV,BayesC,0.687972330373615,0.0210239384698046,1.72708140095417,0.0531691017823082
barley,BaMMV,GBLUP,0.687360067966951,0.0210366108569921,1.72850515766685,0.0536384809605456
barley,BaMMV,LightGBM,0.726488652115229,0.0217326791862343,1.63826560740148,0.0567246826105281
barley,BaMMV,RF,0.704345141280105,0.0259122786492058,1.69327054052176,0.0622288038523268
barley,BaMMV,RKHS,0.69664817865489,0.0211095782214425,1.70683345785825,0.0541877712684605
barley,BaMMV,XGBoost,0.72212624972897,0.0217246129012857,1.64644259525729,0.0562118839078718
barley,BaYMV,BL,0.532284448388545,0.0419086489072427,0.849034029519739,0.043907037548142
barley,BaYMV,BRR,0.532445636351438,0.0416829496419372,0.849219747264891,0.0432307119772999
barley,BaYMV,BayesA,0.545180966591229,0.042655020139355,0.841736746199891,0.0426068597022101
barley,BaYMV,BayesB,0.548372625841783,0.0424245930250181,0.839118730468929,0.0421631373982165
barley,BaYMV,BayesC,0.532669339719009,0.0417544346182875,0.849153678160399,0.0435825833479044
barley,BaYMV,GBLUP,0.53239145161117,0.0417504535043236,0.849214766349125,0.0437537470445743
barley,BaYMV,LightGBM,0.568932832381771,0.0400806034638264,0.825920575423581,0.0433189469742154
barley,BaYMV,RF,0.547533231439325,0.0413340784927571,0.839068623035931,0.0443962782426234
barley,BaYMV,RKHS,0.535803511531074,0.0419963908328097,0.846962464728357,0.0443150587599852
barley,BaYMV,XGBoost,0.573838276389381,0.0408267879488229,0.821606799302029,0.0433199160781956
bean,DF,BL,0.773958384057005,0.0439472253794453,1.49666984833051,0.129992713471868
bean,DF,BRR,0.770126848970106,0.0438192468353419,1.50656250094869,0.128417972565069
bean,DF,BayesA,0.787715549906984,0.046184373272392,1.45217855784361,0.153556624266033
bean,DF,BayesB,0.785880694240371,0.0407971055216772,1.45570584645126,0.140733847480305
bean,DF,BayesC,0.77973711801862,0.0419274234778415,1.47921458150363,0.124871969297259
bean,DF,GBLUP,0.770081630444404,0.0442900295936024,1.50732010844703,0.12998783715354
bean,DF,LightGBM,0.794506670314649,0.0377600570330356,1.42977296480484,0.12385673084852
bean,DF,RF,0.790370858365832,0.040447070082559,1.44670155292346,0.118832237127981
bean,DF,RKHS,0.777392033011352,0.042017750241607,1.49200552019657,0.124710913166447
bean,DF,XGBoost,0.799986098616201,0.0380701928004789,1.41483003919371,0.131889496948797
bean,DPM,BL,0.677052785280789,0.0456810076052745,1.52288733492282,0.0957454728637672
bean,DPM,BRR,0.675535732312909,0.0460469879556067,1.52293594138424,0.0973277808376733
bean,DPM,BayesA,0.676121197570669,0.0457134867798745,1.52073922983863,0.0947368795526168
bean,DPM,BayesB,0.685918095809575,0.0436542421423098,1.50358101849936,0.0953397791379789
bean,DPM,BayesC,0.677611302249495,0.045605336362921,1.52000863853134,0.0960914114183309
bean,DPM,GBLUP,0.675296309844552,0.0453047241148777,1.52412307770223,0.0938575358955988
bean,DPM,LightGBM,0.700376002487209,0.0463398826286137,1.47479715820038,0.117399260987628
bean,DPM,RF,0.650264859728379,0.0543357401548269,1.58912679609507,0.106594708435907
bean,DPM,RKHS,0.683417618396891,0.0441272637570178,1.51008976256954,0.0947114800611995
bean,DPM,XGBoost,0.692269363274432,0.0491577999540795,1.50643398824484,0.112323593430237
bean,PHI,BL,0.43813162832536,0.0775254900656425,3.98016664830179,0.376231397015702
bean,PHI,BRR,0.436750649823169,0.0781785337567475,3.97630310564312,0.373748822243767
bean,PHI,BayesA,0.438434587172531,0.076492748867727,3.97864211003335,0.362379715255839
bean,PHI,BayesB,0.444076352439407,0.0754186753449896,3.96359406625123,0.365925867103696
bean,PHI,BayesC,0.437437570886943,0.0777791756579045,3.97628095261223,0.376408039610211
bean,PHI,GBLUP,0.435685712444723,0.0774357361491285,3.97850396314001,0.375524625862228
bean,PHI,LightGBM,0.383293089764173,0.0493869152683302,4.06595771251907,0.429507444299562
bean,PHI,RF,0.388885186172179,0.0897820414505969,4.08407185320946,0.371628402549974
bean,PHI,RKHS,0.433084179709938,0.0737398881540312,3.97979779103718,0.393780408841645
bean,PHI,XGBoost,0.381235572097658,0.0708491366772535,4.06682689669077,0.3958695821144
bean,X100SdW,BL,0.672030045095977,0.0563917426159789,2.27592276353613,0.193900003179061
bean,X100SdW,BRR,0.670929639875912,0.0558858453538512,2.27759960680397,0.190382925445809
bean,X100SdW,BayesA,0.670253730385855,0.0560675673503605,2.28079048575054,0.191761750219475
bean,X100SdW,BayesB,0.670543238535854,0.0555049567975102,2.27636463755331,0.191076875018843
bean,X100SdW,BayesC,0.670565362274523,0.055984171400299,2.27863743442108,0.192501277376912
bean,X100SdW,GBLUP,0.670366206950893,0.0562847443777069,2.27868675638857,0.18955783025099
bean,X100SdW,LightGBM,0.615706168343304,0.0627789827020265,2.42764352590487,0.212155218566797
bean,X100SdW,RF,0.539838533021546,0.0954345258272395,2.6088120921492,0.261174260951449
bean,X100SdW,RKHS,0.670262184079742,0.0564895336193517,2.28081583718271,0.201325550524211
bean,X100SdW,XGBoost,0.612913019197908,0.0663142660578572,2.45603489494927,0.224482379050337
bean,Yd,BL,0.390273084077179,0.0718971913422036,190.501643658229,14.0932544767646
bean,Yd,BRR,0.394824457410482,0.0706842344589575,189.003324480007,14.5394126971093
bean,Yd,BayesA,0.393552374116765,0.0720402076973304,189.472215171386,14.3168372731667
bean,Yd,BayesB,0.396330414573408,0.07068132023824,189.077708058036,14.5973645074144
bean,Yd,BayesC,0.39559026921465,0.0718693819535008,188.924238418631,14.4577492507492
bean,Yd,GBLUP,0.394788757036052,0.070928369232661,189.009422263462,14.5254969703582
bean,Yd,LightGBM,0.355194216822155,0.0797914631880249,192.580940676394,15.4394440056423
bean,Yd,RF,0.332758968789731,0.0856560500101047,194.275002935889,15.5419414569141
bean,Yd,RKHS,0.391588129297983,0.0701519490980874,189.170299833454,14.655274596055
bean,Yd,XGBoost,0.347045873400817,0.0822664152586803,193.329538594401,14.4992481175802
lentil,DTF,BL,0.816006634693557,0.0617819697833053,1.89933754732407,0.241611692074184
lentil,DTF,BRR,0.815690660376408,0.0623117642364248,1.89818565327303,0.244088999128415
lentil,DTF,BayesA,0.816306072765211,0.0621786133225274,1.89312794845275,0.247378550888245
lentil,DTF,BayesB,0.816735735062087,0.0616509300824567,1.8921682107189,0.2446161512862
lentil,DTF,BayesC,0.81599433968597,0.0626701741899453,1.89470556542931,0.245480648847582
lentil,DTF,GBLUP,0.816160793954008,0.061891263397547,1.89426735496717,0.241608461730325
lentil,DTF,LightGBM,0.821180967796469,0.0550745587461381,1.87726125900381,0.217108295379928
lentil,DTF,RF,0.818005533224203,0.0551831758731902,1.8982571013249,0.243841324568551
lentil,DTF,RKHS,0.82521859926103,0.0586602134199324,1.85834495431523,0.234733004778433
lentil,DTF,XGBoost,0.820698500617754,0.0541398356251069,1.88481798095978,0.215341883662966
lentil,DTM,BL,0.840792770800845,0.0420913341106513,1.84849488374705,0.202094575525917
lentil,DTM,BRR,0.841271626565737,0.0424053285742825,1.84481501426669,0.204279761462644
lentil,DTM,BayesA,0.84136911181486,0.0428101931153581,1.84403955540722,0.205368106060279
lentil,DTM,BayesB,0.841297656942905,0.0426800486281695,1.84514714097372,0.20480320348679
